,Team,Conf,Games,Wins,ADJOE,ADJDE,Power_Rating,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,Two_PO,Two_PD,Three_PO,Three_PD,ADJ_T,WAB,Postseason,Year,avg_conf_power_rating,win_perc,wab_perc
0,Kansas,B12,40,37,121.4,85.5,0.9825,56.6,44.3,19.1,22.4,37.6,29.1,36.4,31.0,55.4,41.2,39.7,32.8,68.6,9.9,CHAMPS,2008,0.8326000000000002,0.925,0.2475
1,Memphis,CUSA,40,38,117.0,86.1,0.9715,52.7,43.4,16.6,22.5,37.8,29.6,40.4,31.7,52.9,42.6,34.9,30.2,70.2,8.9,Finals,2008,0.6035999999999999,0.95,0.2225
2,UCLA,P10,39,35,116.2,86.8,0.9664,52.2,46.5,19.1,21.8,39.2,27.2,37.3,25.6,52.4,45.4,34.4,32.9,66.1,10.8,Final Four,2008,0.81971,0.8974358974358975,0.27692307692307694
3,North Carolina,ACC,39,36,122.9,91.9,0.9659,53.0,48.2,18.8,21.1,42.5,29.0,38.0,25.7,52.1,47.8,37.2,32.6,74.7,11.9,Final Four,2008,0.831125,0.9230769230769231,0.30512820512820515
4,Wisconsin,B10,36,31,112.6,85.4,0.96,50.6,43.4,19.5,21.9,36.2,28.6,39.9,25.4,49.3,41.7,35.6,31.3,63.1,8.3,Sweet Sixteen,2008,0.7742181818181817,0.8611111111111112,0.23055555555555557
5,Louisville,BE,36,27,112.1,86.5,0.9514,53.1,44.1,20.2,21.7,33.4,30.9,36.5,33.5,53.5,43.1,35.0,30.5,67.2,4.7,Elite Eight,2008,0.7853249999999998,0.75,0.13055555555555556
6,Duke,ACC,34,28,115.8,89.9,0.9488,53.6,47.6,18.3,24.7,33.9,33.7,40.9,31.9,51.7,47.0,37.7,32.9,73.5,8.9,R32,2008,0.831125,0.8235294117647058,0.26176470588235295
7,Texas,B12,38,31,120.6,93.8,0.9476,51.5,45.7,14.2,17.9,36.3,33.6,32.0,31.0,48.5,43.2,38.0,33.2,64.7,8.4,Elite Eight,2008,0.8326000000000002,0.8157894736842105,0.2210526315789474
8,Georgetown,BE,34,28,113.0,87.9,0.9472,56.7,41.9,21.3,19.8,33.1,32.7,34.0,36.0,56.2,40.5,38.4,29.6,62.9,7.7,R32,2008,0.7853249999999998,0.8235294117647058,0.22647058823529412
9,Washington St.,P10,35,26,113.4,89.8,0.9359,53.7,46.7,17.0,21.9,27.8,29.8,38.5,28.4,53.0,45.3,36.8,33.1,60.0,4.9,Sweet Sixteen,2008,0.81971,0.7428571428571429,0.14
